ID,Text,Translation
9013608,"     The Arcology erected in <MTArcologyDomeName> has been praised as an exquisite example of engineering, poking through the rounded dome, to a firm stance with a rounded bottom. As ever, the typical architectural tropes remain well intact, as one of the arcology residents put it, ""How are we not doing phrasing anymore?  Seriously, the entire building is one giant inuendo!""",
9013609,"arcology dome",
9013610,"Moxie: Martian Magic",
9013611,"     This morning marks a milestone in the Martian memoirs. Moxie, the magic Martian machine makes mini mistrals, managing to maximise 02 from the mainly CO2 medium of Mars. Magnificent.",
9013612,"Video of Martian Drone Goes Viral",
9013613,"     An adorable video of <MTDrone1> picking up some metal has gone viral on Earth, resulting in many copycat videos being created. <MTDrone2>, a relative of <MTDrone1>, who reportedly took the video has said (after translation from binary) ""I do not understand why it has gone viral, <MTDrone1> was only doing their job"", in response, an earthling video production expert stated ""I know it's just doing its job, but it's SOO cute!""",
9013614,"Concrete Extractor Loves Its Job",
9013615,"     Concrete Extractor #2 has been observed to really love its job extracting concrete for the embetterment of humanity, always putting in 100% exactly. Unlike the other extractors, Concrete Extractor #2 is programmed specifically to remember every piece of concrete it extracts, and it's programmer claims that it even develops an emotional connection with the concrete it extracts. Love is in the air, folks!  ...and the concrete.",
9013616,"Oval Dome Declared Unnatural",
9013617,"     The building of the new Oval Dome has stirred a fair share of controversy on Mars. The Flat Mars League (FML) has come forward, claiming it unnatural. ""We have always built round domes, this new oval dome is an insult to martian tradition. What's next? Square?"" The new dome design allows for two spires, which scientists have described as ""an incredible breakthrough"" stating that they can now throw paper airplanes from one spire to another without even striking the sides of the dome.",
9013618,"Pew Pew",
9013619,"     Several citizens have lodged official complaints about the new MDS Laser, claiming that they never know when it is firing, and that concerns them. The solution offered is to add a ""pew-pew"" sound effect to the MDS lasers, thus allowing citizens the comfort of knowing their dome is securely defended.",
9013620,"Pew Pew Pew!",
9013621,"     In response to the complaints lodged several sol prior, pew-pew sounds have been added to all new MDS Lasers.  Drama ensues, however, as several colonists have claimed to have heard the noises generated by the lasers despite there being no meteors in sight and without the lasers firing.  When asked if there were children present playing with their electronics, they responded, ""I hadn't quite thought about that. I don't recall.""",
9013622,"Barely Scratching The Surface",
9013623,"     With each day that passes we are learning more and more about the new world around us, but this doesn't mean that we've learned a single iota about the land next to us.  Our surface deposits are great, but when are we going to probe beyond the surface?  These piddly deposits will only serve our needs in the short term.  In the long term, we need to bore.  We need to go deep.",
9013624,"All of <MTDomeWithoutO2Name> Holds Their Breath",
9013625,"     <MTDomeWithoutO2Name> is in dire straits as their oxygen supply was cut off from them recently.  While the <MTLeaderTitle> has already sent for the materials and drones necessary for repair, <MTDomeWithoutO2Name> citizens wonder anxiously: will it all arrive in time to matter?  For the rest of us: be prepared for a potential emergency evacuation.",
9013626,"<MTDomeWithoutO2Name> Lets Off Some Steam",
9013627,"     Without any oxygen, <MTDomeWithoutO2Name> is no longer able to sustain the population it once did.  Please make room in your own home for refugees.  Hopefully the drones are already on it, but either way, <MTDomeWithoutO2Name> will be offline for a time while under repair.",
9013628,"Drought Declared",
9013629,"     A drought has been declared in <MTDomeWithoutWaterName>.  Dehydration is setting in and the citizens are nervous.  <MTWaterDomeResident> has declared it a non-issue, professing his faith in <MTLeaderTitle> <MTLeader>'s planning and provision.",
9013630,"Engineers Working To Mitigate Water Shortage",
9013631,"     Water is in short supply in <MTDomeWithoutWaterName>.  While several engineers have begun working on a humidity reclamation project, even they have expressed doubt as to its viability.  This could be it for <MTDomeWithoutWaterName> as farms begin to shut down.",
9013632,"dome without water",
9013633,"colonist",
9013634,"dome without oxygen",
9013635,"Live From Mars Renewed for Season 2",
9013636,"     The hit martian reality TV show, Planet Mars, has been renewed for a second season. <MTCelebrityName> will be the host for the second season.  <MTSponsor> has offered their full support of the endeavor, while our new director has already declared their disgust with working in the Martian environment declaring ""Dust. It's coarse, and rough, and irritating, and it just gets everywhere. EVERYWHERE!""",
9013637,"random celebrity",
9013638,"What Goes Around Comes Around",
9013639,"     As time moves on more and more colonists are born, and more and more are passing away, including just yesterday.  In other news, the newest food crop has come in! Make sure to check your nearest grocer for fresh produce and show them this article for a 0.5 percent discount!",
9013640,"Domelenol Now Available!",
9013641,"     Got any aches and pains? Go to your local infirmary and ask for some Domelenol, the only sponsor-approved painkiller on Mars. Warning: Domelenol will not cure earthsickness, headaches, being an idiot, toothaches, alcoholism, feelings of loneliness, gambling addiction, nausea or just about anything else. Use at your own risk.",
9013642,"Spies Spotted on Mars",
9013643,"     The Martian Tribune has received information that there spies sent from Earth have been spotted on Mars. Sources say that a spy was seen in the spacebar in <MTSecondSpacebarDomeName> highly intoxicated and attempting to hit on any woman in the bar while trying to use the pickup line ""I am the greatest secret agent on Mars, baby!""  The spy's identity has yet to be confirmed.",
9013644,"unbuilt spacebar dome",
9013645,"New Language Develops on Mars",
9013646,"     It has been reported that the language spoken on Mars has changed so much from those spoken on earth that it is now mutually unintelligble when compared to any language on Earth and thus must be classified as its very own language. Some experts have claimed that it is not a new language, but rather a combination of Swahili and Irish.  This strikes us here at the Martian Tribune as quite odd, however, as no one speaking either of those languages has yet come to Mars.",
9013647,"Vigilante Justice",
9013648,"     A rumor has begun circulating around the domes of a masked vigilante running around preventing crime. Given the name of the Red Lantern has been spotted on multiple occasions preventing petty crimes and saving lives.  Spottings include, but are not limited to; telling youth to stop throwing rocks, pushing a person out of the way of a rapidly moving drone, and stopping a theft in the local grocer.",
9013649,"New Martian Passport Revealed",
9013650,"     The Martian Tribune has received an advance copy of the new martian passport, designed behind closed doors in Armstrong City on Luna.  The passport is red, the front has a hologram of Mars with Phobos and Deimos behind it. Designers have stated the passport is ""completely uncopyable"". If you have yet to see the design, plenty of copies are rumored to be available from various undisclosed sources both here on Mars as well as on the Moon.",
9013651,"Martian Music Voted Best in Galaxy",
9013652,"   The Martian rock group, Red Rock Rocks, has been voted best in the galaxy by an unbiased vote conducted online. The group is famous for songs such as ""4th Rock from the sun"", ""Red Rocks Rock"", ""Dome sweet Dome"", and ""Martian Madness"". The timing of such a vote is fortuitous as they have also just released their brand new album called ""Dark side of Phobos"".",
9013653,"<MTLeaderTitle> Praised For Culture of Equality",
9013654,"     In a recent G20 Summit, Mars has been praised for its fully representative gender-based equality. Martian men, women, and those identifying as Other all have equal and ready access to all services, job opportunities, and representation. This has been attributed to <MTSponsor> who has gone on record as not really caring about ""things like gender, as long as they get the job done.""",
9013655,"Religious Artifact Found on Mars",
9013656,"     <MTSaint> has found what appears to be a religious artifact on Mars. The item, shaped like the Point of Origin symbol from Stargate fame, has been heralded as undeniable proof of <MTSaint>'s new religion as the one true faith. Sceptics however are reported saying ""..its just a stupid, useless rock.. there are thousands of them all around! What's so special about this one?""",
9013657,"random saint",
9013658,"A Baby-Step For Mankind, A Huge Leap For Martianborn!",
9013659,"     Today marks yet another milestone in martian colonization: Today we celebrate the a special martianborn birthday! Indeed, with <MTBirthdayName>'s birthday today we are reminded that this Red Planet is indeed ours! Let this serve as a sign that the Red Planet has truly become the realm of man! It is time to sing, cheer and celebrate at this wonderful news! Happy Birthday <MTBirthdayName>. May your life be long and prosperous.",
9013660,"random birthday colonist",
9013661,"Petition to Rename Dome",
9013662,"     A petition has arrived at the Martian Tribune asking that a dome of ours be re-named in honor of <MTDeadMartianName>. We at the bureau also feel it would be a great way to remember the dead. If you would like to add your name to the petition, stop by the bureau before next Monday when we officially present the petition to the <MTLeaderTitle> on behalf of the martian people.",
9013663,"first dead martian",
9013664,"Virtue Over Vices",
9013665,"     The stresses of colonizing a new planet have clearly taken their toll on <MTLeaderTitle> <MTLeader> as the foolishness of last night's escapades will not be long forgotten.  <MTLeaderTitle>, learn to control your vices better before they take us all down with you!  If things don't change soon, it might be time to start looking for a new leader.",
9013666,"Spacebar a hit with local Connoisseur",
9013667,"     WOOOO! Mannn, this Spacebar is great! I went... I went there, and -hic- I went there, it was great! WOOOOO! man, i love it, I don't ever want to -hic- leave... they have this great drink, made from the.. food thing, the.. potatoes, the barman called it ""poteeeen"", man its great, does anywhere on mars do Chinese? I could really do with some Chinese right now. -hic-",
9013668,"Watch What You Eat",
9013669,"     A new ordinance has been passed on the number of drinks one may imbibe after yet another incident.  Five of our inebriated compatriots recently snuck off to the stockpiles overnight, exchanging the contents of the food containers randomly with polymers, machine parts, and electronics again.  Watch what you eat, folks.  As <MTRandomColonistName> put it, ""Those electronics just don't go down well"".",
9013670,"random colonist",
9013671,"Flat Mars League Gains Traction",
9013672,"     <MTSponsor>'s recent announcement that cursory scans of the Martian surface are complete has prompted an interesting response from the public.  The Flat Mars League (FML) has come forward to declare that the scans provide full evidence, beyond any doubt, that Mars is indeed flat.  Their spokesman, <MTIdiotName>, has pointed to the clear squareness of the resulting map, and the fact that the horizon is so obviously flat as well.  When asked about Earth, <MTIdiotName> stated that, ""Unlike Mars, Earth has been observed to be round"".",
9013673,"Oops I Broke It Again",
9013674,"     Dome dimwit <MTIdiotName> has once again managed to again find a way to get around the idiot-proof safety features of the local <MTIdiotWorkplace> with an amazing display of acrobatics, luck, and skill. Once again <MTIdiotName> found themselves holding a vital part of the building in their hand as they left work today. ""I honestly have no idea how they managed it. The building can't function without it, so we keep it behind three feet of concrete... yet, somehow, they still managed to walk off with it. I'm not even mad. It really is just plain amazing.""",
9013675,"idiot's workplace",
9013676,"The Wright Way",
9013677,"     As recent research turns into technological innovation the Martian Aviation Authority has announced its first inter-dome flights with their new CO2 powered flying drones. Move from dome to dome with the new luxury passanger drones, or just watch as the MAA goes about it's business transfering food and other supplies to where its most needed.",
9013678,"MRU Opens Its Doors",
9013679,"     After months of construction and planning the Martian Red University has opened its doors to Martians and colonists alike offering classes in Martian Botony, Martian Engineering, Martian Geology, Martian Medical Care, and Martian Science.  MRU is already being recognized as an accredited third level educational institute throughout the entire planet. Sign up now and become marginally less useless today!",
9013680,"The Answer To Life Is Always 42",
9013681,"     The lucky couple came forward today to announce that after 42 hours of labor, at 24:45 Martian Standard Time, their first child, <MTMartianCelebrityName> was born.  They are said to be only slightly fatigued, but absolutely jubilant upon the sight of the most dazzling, toothless smile imaginable staring back at them. Journalists from earth are already requesting photos of the new citizen.  We have a new celebrity in our midst!",
9013682,"martian celebrity",
9013683,"First Founder Passed Away",
9013684,"     Today marks a sad day on Mars as two planets mourn in unison.  The first death on Mars, Founder <MTDeadFounder> passed away today. As one of the very first Founders to ever set foot on the Red Planet, <MTDeadFounder> will go down in history as having set the highest of standards.  They were a brave soul, who's impact can be seen all around us, and shall not be forgotten.",
9013685,"dead founder",
9013686,"The Grass Couldn't Be Greener",
9013687,"     Local botanist <MTHippieName> has been caught smoking what officers referred to as ""the greatest stuff on the planet"", which was found to be grown in their very own closet. Though technically not illegal on Mars, questions have been raised as to how the botanist got the plant here in the first place. Dome security declared to us that ""it's definitely home-grown, it really is pretty high quality"". Unfortunately this was all the information we could gather as the officers were all quite insistent on returning to their spudtato snacks.  We will keep you updated as more news unfolds.",
9013688,"random botanist",
9013689,"The Rock Is Always Redder",
9013690,"     In a recent survey performed by the Martian Tribune a number of citizens have expressed disappointment after moving to a new dome.  One citizen in particular hit the nail on the head saying, ""I always thought that moving from <MTMovingDome1> to <MTMovingDome2> would be a huge upgrade in lifestyle, but I've have found it to be basically the same as before. I guess it's true what they say: The rock is redder on the other side.""",
9013691,"random dome <num>",
9013692,"Sound Complaint Filed",
9013693,"     <MTRareMetalsColonist> has lodged a formal complaint against <MTLeader>'s natural resource exploitation.  In the complaint they declared the primary contributor to be the new Rare Metals Extractor near <MTRareMetalsDome>.  There was also mention of sleep being precious and the constant pounding leaving not a moment of reprieve.  <MTLeader> declared themselves unmoved by the complaint.",
9013694,"random rare metals colonist",
9013695,"random rare metals dome",
9013696,"Paving Over The Problem",
9013697,"     <MTConcreteName> has lodged a formal complaint with authorities today after the plans to construct yet another Concrete Extractor was announced. <MTConcreteName> declared within that they ""did not come to another planet to pave it over.""",
9013698,"random person",
9013699,"Is this Vegan?",
9013700,"     <MTVeganDinerName> has been barred from the diner in <MTVeganDinerDome> after going in 25 different times and asking, ""Is this vegan? I'm vegan, so I can't eat anything that comes from an animal"", and being repetedly informed that everything on Mars is vegan.  Staff finally banded together and has officially banned <MTVeganDinerName> from the establishment stating ""EVERYTHING is vegan!  Now GET OUT!""",
9013701,"dome with vegan and diner",
9013702,"Vegan Declares Mars Meat-Free Planet",
9013703,"     <MTVegan1Name> has stepped up to make their presence known today as they've declared Mars to be Vegan Atlantis.  With Earth now lost forever to the carnivores, Mars is as yet unmarred by the carnivorous and <MTVegan1Name> has vowed to do everything in their power to keep it that way.  Doesn't sound good for all the bacon lovers out there as <MTVegan1MedicName> has stepped up to back the proposition as well.  We'll have to wait and see if it sticks.",
9013704,"Mars Still Meat Free",
9013705,"     <MTVegan2Name>'s ambitions have lead to the creation of a new foundation called the Vegan Martian Coalition. Their proposition of a meat-free Mars seems to be gaining momentum as 10 sol have now passed since the initial proposition and neither cattle nor hog has yet seen import.  Recognizing that opposition has been light, the <MTLeaderTitle> and <MTSponsor> have each agreed to sit down to discuss the issue more in depth.",
9013706,"Vegan Martian Coalition Gains Ground",
9013707,"     The VMC has announced Saturday to be Spudtato Day.  As the faction gains traction, so does their hold on Martian Cuisine, but perhaps this is one we can all get behind.  Let the fries flow!",
9013708,"Vegan Martian Coalition Talks Stalled",
9013709,"     Though the VMC has managed to garner the favor of our <MTLeaderTitle> <MTLeader>, <MTSponsor> has claimed to receive millions of complaints from Earthlings who once desired to travel to Mars.  Applicants have begun to withdraw their applications by the thousands citing only one word on the cancellation form: ""bacon"".  While the backlash might dampen <MTSponsor>'s support, this reporter for one is pleased with the health benefits.  We'll keep you updated as the situation continues to progress.",
9013710,"Earthling Causes Delay",
9013711,"     If you've been wondering why no new domes have been built of late, look no further than <MTEarthlingDelayName>.  Apparently they're now taking signatures for a petition to halt all mining operations, claiming them to be ""raping and pillaging Mars of its natural resources.""  The <MTLeaderTitle> has taken note of <MTEarthlingDelayName> and should be releasing a statement later this very sol.",
9013712,"Earthling Claims To Be Misunderstood",
9013713,"     As proof that rumors travel faster than light, word of <MTEarthlingDelayName>'s attempt to halt mining operations has already reached <MTSponsor>'s ears on Earth.  While our sponsor yet to make any formal declarations, <MTEarthlingDelayName> has already gone on the record to declare that it was all a giant April Fool's Day joke.  Whether it is or not, it is not April, and this reporter is not amused.",
9013714,"random earthling",
9013715,"Teenager Takes Drone for a Joyride",
9013716,"     Last night <MTTeenagerJoyrideName> hacked the code.  Working their way into the mainframe, one would expect havoc throughout the colony this morning, but apparently they had their sights set on something a little more exciting.  <MTTeenagerJoyrideName> simply took over a local drone and went out for a little joyride, eventually to end the ride face-first into the side of <MTTeenagerJoyrideDome>, go figure.  Kids will be kids, I guess.",
9013717,"random teenager's dome",
9013718,"random teenager",
9013719,"New Sport Established On Mars",
9013720,"     Our Earthling counterparts might have their Ski Jumping, but we here on Mars have our very own Drone Jumping. After hacking a few drones last night, lead by <MTDroneHack2Name>, several teenagers went joy riding in the dunes, eventually finding what has now been dubbed Marathon Hill as the site of Mars' very first Out-Dome sport: Drone Jumping.",
9013721,"New Martian Law Enforced",
9013722,"     <MTDroneHack3Name> was brought in to the Security Station last night on charges of Unsanctioned Drone Use.  Under the new Martian Law it is now prohibited to hack into drones for personal use.  To make things worse, <MTDroneHack3Name> is alleged to have been siphoning off Rare Metals for personal gain.  Expect formal charges in the coming days.",
9013723,"random drone hacker",
9013724,"The Refuse Hits The Fan",
9013725,"     Last night a sewage pump overflowed in <MTRefuseHitsFanDinerDome> when one of the pump's propellers broke under the pressure.  After what can only be described as a dining fiasco, last night's meal of extruded bean substitute seems to have played a critical role in overloading the sewage systems. There have been dozens of reports of a foul odor filling the dome even now.  Match usage is strictly prohibited until the blockage can be cleared.",
9013726,"dome with diner",
9013727,"Olympic Bid Rejected",
